Registry,ID,Name,Type,Location,SDGs,Project Start Date,Credits Issued,Credits Retired,Project Website
ACR,ACR948,True Manufacturing FBA Project 002C,Industrial Process Emissions,United States,"[3, 6, 9, 12, 13]",01/01/2022,0,0,""","
ACR,ACR670,TWRS 2,Industrial Process Emissions,United States,"[3, 9, 12, 13]",04/21/2021,17238,11859,""","
ACR,ACR160,Tyson Wastewater Treatment,Wastewater Treatment,United States,"[9, 11, 13]",01/01/2004,100000,0,""","
ACR,ACR212,UPM Blandin Native American Hardwoods Conservation & Carbon Sequestration Project,Forest Carbon,United States,"[3, 6, 9, 13, 15]",07/28/2010,1710013,1398765,""","
ACR,ACR161,Upper Rock LFG to Energy,Landfill Gas Capture & Combustion,United States,[],04/01/2000,184632,160553,""","
ACR,ACR743,Urling Abandoned Mine Methane Recovery Project,Coal Mine Methane,United States,"[9, 13]",06/16/2021,21850,0,""","
ACR,ACR579,UT AgResearch Working Woodlands Project,Forest Carbon,United States,"[3, 6, 9, 13, 15]",11/26/2019,136682,56463,""","
ACR,ACR537,Wabash Abandoned Mine Methane Recovery Project,Coal Mine Methane,United States,"[9, 13]",08/27/2018,72613,0,""","
ACR,ACR198,Wabashco Clean Sweep 2,Ozone Depleting Substances,United States,"[9, 12, 13]",12/07/2013,88044,0,""","
ACR,ACR221,Wabashco Clean Sweep 3,Ozone Depleting Substances,United States,"[9, 12, 13]",06/20/2014,112378,0,""","
ACR,ACR225,Wabashco Clean Sweep 4,Ozone Depleting Substances,United States,"[9, 12, 13]",01/23/2015,110003,0,""","
ACR,ACR244,Wabashco Clean Sweep 5,Ozone Depleting Substances,United States,"[9, 12, 13]",03/31/2015,57589,0,""","
ACR,ACR254,Wabashco Clean Sweep 6,Ozone Depleting Substances,United States,"[9, 12, 13]",09/19/2015,39036,0,""","
ACR,ACR275,Wabashco Clean Sweep 7,Ozone Depleting Substances,United States,"[9, 12, 13]",12/29/2015,116836,0,""","
ACR,ACR314,Wabashco Clean Sweep 8,Ozone Depleting Substances,United States,"[9, 12, 13]",04/18/2016,111977,0,""","
ACR,ACR343,Wabashco Clean Sweep 9,Ozone Depleting Substances,United States,"[9, 12, 13]",07/08/2016,93298,0,""","
ACR,ACR179,Wabashco Clean Sweep I,Ozone Depleting Substances,United States,"[9, 12, 13]",06/12/2013,50600,0,""","
ACR,ACR422,Wabassus DLLT IFM,Forest Carbon,United States,"[3, 6, 9, 13, 15]",01/01/2018,90194,11139,""","
ACR,ACR260,Warm Springs Phase I,Forest Carbon,United States,"[6, 13, 15]",12/05/2014,3237729,0,""","
ACR,ACR1064,Weber County Landfill,Landfill Gas Capture & Combustion,United States,"[3, 7, 8, 9, 11, 12, 13]",05/01/2024,0,0,"www.qnergy.com"","
ACR,ACR946,Well Done Foundation's Montana Legacy 2023,Industrial Process Emissions,United States,"[9, 11, 12, 13, 15]",12/01/2023,0,0,"www.welldonefoundation.org"","
