Registry,ID,Name,Type,Location,SDGs,Project Start Date,Credits Issued,Credits Retired,Project Website
MRK,MRK103000000004413,Bills Cleuch,No thinning or clearfell,Scotland,[],,413327,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004413
MRK,MRK104000000027992,Abbey Wood,Mixed mainly thin and clearfell,England,[],,8440,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000027992
MRK,MRK103000000017247,Forest Carbon Group Scheme 13 (Benham Estate),Continuous cover system,Scotland,[],,52555,0,https://mer.markit.com/br-reg/public/master-project.jsp?project_id=103000000017247
MRK,MRK103000000002945,Forest Carbon Group Scheme 2 (Craig Farm phase 2),Mixed mainly thin and clearfell,Scotland,[],,56605,0,https://mer.markit.com/br-reg/public/master-project.jsp?project_id=103000000002945
MRK,MRK104000000026992,"Talla, Gameshope and Carrifran",Peatland Restoration,Scotland,[],,40001,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=104000000026992
MRK,MRK103000000017153,Forest Carbon Group Scheme 8 (South Lasts),Mixed mainly thin and clearfell,Scotland,[],,88781,0,https://mer.markit.com/br-reg/public/master-project.jsp?project_id=103000000017153
MRK,MRK103000000017207,Forest Carbon Group Scheme 12 (Little Yarrow),No thinning or clearfell,Scotland,[],,195189,0,https://mer.markit.com/br-reg/public/master-project.jsp?project_id=103000000017207
MRK,MRK103000000004433,Parkhead Community Woodland,No thinning or clearfell,Scotland,[],,4522,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004433
MRK,MRK103000000004421,Stonebyres,No thinning or clearfell,Scotland,[],,3113,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004421
MRK,MRK103000000004390,Garvalt Burn,No thinning or clearfell,Scotland,[],,12223,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004390
MRK,MRK103000000004406,Scalpay West,No thinning or clearfell,Scotland,[],,35095,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004406
MRK,MRK103000000017169,Forest Carbon Group Scheme 9 (Creagan Loisgte),Mixed mainly continuous cover system,Scotland,[],,619364,0,https://mer.markit.com/br-reg/public/master-project.jsp?project_id=103000000017169
MRK,MRK103000000004447,Forest Carbon Group Scheme 3 (Whitelee),Mixed mainly thinning,Scotland,[],,59704,459,https://mer.markit.com/br-reg/public/master-project.jsp?project_id=103000000004447
MRK,MRK103000000004439,Corehead,No thinning or clearfell,Scotland,[],,21396,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004439
MRK,MRK103000000004436,Broxburn Community Woodland Phase 4,No thinning or clearfell,Scotland,[],,6544,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004436
MRK,MRK103000000004283,Brynrhyg,No thinning or clearfell,Wales,[],,5968,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004283
MRK,MRK103000000004418,Alladale Phase II,No thinning or clearfell,Scotland,[],,78319,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004418
MRK,MRK103000000004419,Ardochy,Continuous cover system,Scotland,[],,50261,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004419
MRK,MRK103000000004417,Cairns Farm,Thin only,Scotland,[],,3822,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004417
MRK,MRK103000000017204,Forest Carbon Group Scheme 11 (Breckenhill),No thinning or clearfell,Scotland,[],,117252,0,https://mer.markit.com/br-reg/public/master-project.jsp?project_id=103000000017204
MRK,MRK103000000006746,Forest Carbon Group Scheme 7 (Hillhead),Mixed mainly continuous cover system,England,[],,112384,0,https://mer.markit.com/br-reg/public/master-project.jsp?project_id=103000000006746
MRK,MRK103000000017295,Forest Carbon Group Scheme 14 (Longcroft Woodland),Mixed mainly clearfell,Scotland,[],,8454,0,https://mer.markit.com/br-reg/public/master-project.jsp?project_id=103000000017295
MRK,MRK103000000004424,Gorton Hill,No thinning or clearfell,Scotland,[],,136275,0,https://mer.markit.com/br-reg/public/project.jsp?project_id=103000000004424
